Country,ISO3 Code,Date,Price (EUR/MWhe)
Austria,AUT,1/1/2015,35.86
Austria,AUT,1/2/2015,35.86
Austria,AUT,1/3/2015,35.86
Austria,AUT,1/4/2015,35.86
Austria,AUT,1/5/2015,36.18
Austria,AUT,1/6/2015,33.67
Austria,AUT,1/7/2015,38.59
Austria,AUT,1/8/2015,28.05
Austria,AUT,1/9/2015,24.48
Austria,AUT,1/10/2015,12.15
Austria,AUT,1/11/2015,1.49
Austria,AUT,1/12/2015,22.56
Austria,AUT,1/13/2015,24.97
Austria,AUT,1/14/2015,27.68
Austria,AUT,1/15/2015,24.76
Austria,AUT,1/16/2015,33.89
Austria,AUT,1/17/2015,31.26
Austria,AUT,1/18/2015,27.18
Austria,AUT,1/19/2015,42.75
Austria,AUT,1/20/2015,47.00
Austria,AUT,1/21/2015,44.93
Austria,AUT,1/22/2015,43.88
Austria,AUT,1/23/2015,42.26
Austria,AUT,1/24/2015,29.56
Austria,AUT,1/25/2015,28.43
Austria,AUT,1/26/2015,37.23
Austria,AUT,1/27/2015,33.21
Austria,AUT,1/28/2015,27.47
Austria,AUT,1/29/2015,26.93
Austria,AUT,1/30/2015,38.29
Austria,AUT,1/31/2015,29.78
Austria,AUT,2/1/2015,29.24
Austria,AUT,2/2/2015,42.47
Austria,AUT,2/3/2015,45.76
Austria,AUT,2/4/2015,48.49
Austria,AUT,2/5/2015,43.57
Austria,AUT,2/6/2015,39.29
Austria,AUT,2/7/2015,25.52
Austria,AUT,2/8/2015,13.33
Austria,AUT,2/9/2015,27.93
Austria,AUT,2/10/2015,44.40
Austria,AUT,2/11/2015,48.58
Austria,AUT,2/12/2015,48.15
Austria,AUT,2/13/2015,38.61
Austria,AUT,2/14/2015,32.74
Austria,AUT,2/15/2015,29.27
Austria,AUT,2/16/2015,35.63
Austria,AUT,2/17/2015,42.99
Austria,AUT,2/18/2015,43.22
Austria,AUT,2/19/2015,37.92
Austria,AUT,2/20/2015,30.91
Austria,AUT,2/21/2015,30.69
Austria,AUT,2/22/2015,32.76
Austria,AUT,2/23/2015,31.98
Austria,AUT,2/24/2015,34.80
Austria,AUT,2/25/2015,44.33
Austria,AUT,2/26/2015,37.12
Austria,AUT,2/27/2015,38.94
Austria,AUT,2/28/2015,28.81
Austria,AUT,3/1/2015,11.01
Austria,AUT,3/2/2015,26.57
Austria,AUT,3/3/2015,27.61
Austria,AUT,3/4/2015,26.21
Austria,AUT,3/5/2015,36.60
Austria,AUT,3/6/2015,40.09
Austria,AUT,3/7/2015,28.00
Austria,AUT,3/8/2015,22.82
Austria,AUT,3/9/2015,39.09
Austria,AUT,3/10/2015,37.77
Austria,AUT,3/11/2015,34.96
Austria,AUT,3/12/2015,39.37
Austria,AUT,3/13/2015,36.80
Austria,AUT,3/14/2015,31.99
Austria,AUT,3/15/2015,27.19
Austria,AUT,3/16/2015,30.86
Austria,AUT,3/17/2015,32.12
Austria,AUT,3/18/2015,36.51
Austria,AUT,3/19/2015,37.35
Austria,AUT,3/20/2015,35.30
